last_name, first_name,player_id,year,xslg,xwoba,xobp,xiso,exit_velocity_avg,barrel_batted_rate,solidcontact_percent,hard_hit_percent,sprint_speed,
Pujols, Albert,405395,2021,.456,.321,.299,.203,90.1,8.5,3.8,38.4,22.5,
Cabrera, Miguel,408234,2021,.421,.320,.305,.193,91.3,9,9.3,50.7,24.1,
Molina, Yadier,425877,2021,.405,.306,.299,.152,87.9,5.4,8,32.4,22.7,
Suzuki, Kurt,435559,2021,.300,.262,.278,.091,84.5,2.6,5.3,25.8,24.9,
Cruz Jr., Nelson,443558,2021,.494,.361,.345,.229,92.5,12.8,7.4,51,26.0,
Peralta, David,444482,2021,.340,.289,.307,.101,89.6,5.2,4.9,42.7,27.6,
Pina, Manny,444489,2021,.400,.314,.309,.192,85.4,10.2,5.1,28,25.1,
Escobar, Alcides,444876,2021,.350,.306,.324,.084,82.2,2.9,2.9,23.3,27.5,
Longoria, Evan,446334,2021,.531,.383,.371,.255,95.1,13.7,12.2,58.8,26.2,
Cabrera, Asdrubal,452678,2021,.332,.283,.299,.118,88.1,6,4.1,31.8,24.8,
Blackmon, Charlie,453568,2021,.462,.365,.372,.166,87.6,6.7,3.5,39.9,27.6,
Maldonado, Martin,455117,2021,.314,.273,.290,.128,88.2,5.8,5.3,32.9,23.7,
Cain, Lorenzo,456715,2021,.359,.303,.313,.127,88.1,4.8,7.3,38.2,28.5,
Solano, Donovan,456781,2021,.409,.324,.328,.142,87.9,6.3,6.3,35,26.1,
McCutchen, Andrew,457705,2021,.432,.350,.358,.191,89,10.1,7.1,40.7,28.7,
Upton, Justin,457708,2021,.416,.318,.306,.195,90.1,11.7,6.1,41.6,27.5,
Turner, Justin,457759,2021,.444,.353,.358,.183,91,7.7,8.2,41.8,25.2,
Posey III, Buster,457763,2021,.475,.367,.375,.194,88.4,8.5,6.9,41.9,24.2,
Votto, Joey,458015,2021,.581,.401,.374,.307,92.7,17.5,7.3,51.8,25.2,
Gardner, Brett,458731,2021,.287,.284,.320,.088,86.2,3,5.7,31.3,28.6,
Andrus, Elvis,462101,2021,.368,.299,.309,.103,87.7,2.4,6.4,33.8,26.7,
Ramos, Wilson,467092,2021,.404,.305,.283,.169,89.6,11.2,5.2,44,23.7,
Santana, Carlos,467793,2021,.417,.333,.340,.181,89.7,7.1,7.4,41.7,25.1,
Belt, Brandon,474832,2021,.471,.347,.331,.253,89.4,15.7,5.8,45.9,25.5,
Zimmerman, Ryan,475582,2021,.398,.291,.268,.173,91.3,9.7,6.5,49,26.5,
Lowrie, Jed,476704,2021,.471,.350,.337,.208,91,9.6,10.2,47.3,25.2,
Brantley Jr., Michael,488726,2021,.459,.362,.368,.147,89.8,5.7,5.7,42.4,25.6,
Castro, Jason,488771,2021,.439,.348,.357,.204,90.7,12.7,6.3,40.5,26.6,
Gurriel, Yuli,493329,2021,.379,.326,.349,.112,89.9,3.5,4.8,42.2,27.1,
Rojas, Miguel,500743,2021,.350,.298,.314,.097,86.4,3,4.4,33,26.6,
Escobar, Eduardo,500871,2021,.450,.327,.306,.201,87,9.2,5.6,33.5,27.4,
Adrianza, Ehire,501303,2021,.344,.308,.334,.099,84.8,2.4,5.5,31.5,26.9,
Lagares, Juan,501571,2021,.377,.286,.277,.124,90.4,7,5.5,42.8,28.1,
Almonte, Abraham,501659,2021,.351,.314,.342,.125,89.1,7.3,5.5,40.9,27.7,
Pham, Tommy,502054,2021,.429,.350,.363,.179,90.6,9.9,9.2,46.4,27.9,
Martinez, J.D.,502110,2021,.517,.367,.344,.236,91.8,12.1,11.3,48.7,26.2,
Reddick, Josh,502210,2021,.366,.287,.289,.104,85.1,2.5,6.6,32.2,26.3,
Goldschmidt, Paul,502671,2021,.549,.387,.356,.263,92.9,12.7,8.7,52.1,26.4,
Gonzalez, Marwin,503556,2021,.312,.277,.296,.094,88.2,3.4,5.7,36.2,26.9,
Leon, Sandy,506702,2021,.256,.212,.219,.086,87.5,2.3,4.7,26.6,23.5,
Altuve, Jose,514888,2021,.412,.329,.336,.154,88.2,6.3,6.1,35,27.8,
Hernandez, Cesar,514917,2021,.377,.305,.311,.145,87.9,7.7,5.1,34.2,28.8,
Segura, Jean,516416,2021,.393,.321,.331,.130,87.7,6.4,5.8,38.2,27.3,
Castro, Starlin,516770,2021,.406,.323,.326,.136,88.4,5.4,6.6,40.1,26.1,
Marte, Starling,516782,2021,.430,.347,.354,.161,86.5,8.8,4.4,36.3,28.5,
Culberson, Charlie,518586,2021,.306,.266,.284,.081,85.2,3,5.4,28.1,28.1,
Donaldson, Josh,518626,2021,.529,.383,.368,.261,94,17.2,4.9,52.6,24.4,
Freeman, Freddie,518692,2021,.552,.402,.400,.245,91.4,11,7.2,46.8,26.9,
Grandal, Yasmani,518735,2021,.524,.418,.437,.271,93.6,16.9,8.5,54.2,23.6,
Heyward, Jason,518792,2021,.353,.289,.295,.123,88.2,4.5,7.7,42.3,26.7,
LeMahieu, DJ,518934,2021,.384,.333,.358,.109,90.6,3.6,6.8,44.1,26.6,
Moreland, Mitch,519048,2021,.389,.296,.285,.165,91,9.2,9.8,47.7,24.4,
Moustakas, Mike,519058,2021,.313,.275,.285,.124,86.5,6.3,6.3,29.7,25.3,
Rizzo, Anthony,519203,2021,.435,.348,.357,.174,90.4,8.2,5.6,40.6,25.1,
Sogard, Eric,519299,2021,.265,.225,.238,.067,84,0.7,2.8,14.9,25.6,
Stanton, Giancarlo,519317,2021,.463,.354,.348,.211,95.3,15,9.8,56.2,24.6,
Vogt, Stephen,519390,2021,.331,.282,.298,.122,88.3,4.6,8.6,34.9,26.2,
Galvis, Freddy,520471,2021,.362,.286,.288,.136,86.9,5.7,7,31.1,25.8,
Perez, Salvador,521692,2021,.554,.371,.318,.279,92.8,15.8,8.9,55.5,26.1,
Flores, Wilmer,527038,2021,.388,.302,.302,.158,88.5,6.3,6.6,35.5,24.4,
Garcia, Avisail,541645,2021,.503,.369,.353,.222,90.5,11.9,7.1,48.2,28.7,
Ozuna, Marcell,542303,2021,.451,.344,.336,.186,89.7,9.9,7.7,40.8,26.5,
Villar, Jonathan,542340,2021,.422,.325,.320,.175,88,8.9,5.5,35.1,27.4,
Ortega, Rafael,542364,2021,.387,.311,.318,.132,88.6,6,5.4,35.3,27.5,
Aguilar, Jesus,542583,2021,.448,.334,.328,.190,89.6,8.5,5.5,41,24.3,
Berti, Jon,542932,2021,.319,.301,.331,.088,87.1,2.3,4,38.3,29.9,
Crawford, Brandon,543063,2021,.489,.351,.332,.233,88.8,12.5,9,43.1,25.6,
Cron, C.J.,543068,2021,.494,.376,.368,.231,88.5,12,5.1,39.4,25.9,
Dickerson, Alex,543105,2021,.442,.334,.324,.183,87.7,10.4,5.9,39.6,26.7,
Gomes, Yan,543228,2021,.472,.341,.324,.186,89.5,8.3,7.9,39,26.3,
Grossman, Robbie,543257,2021,.391,.332,.350,.160,87.9,7.4,8.5,34.8,27.7,
Harrison, Josh,543281,2021,.427,.342,.348,.146,87.4,4.4,7.8,32.2,26.7,
Higashioka, Kyle,543309,2021,.471,.335,.299,.250,90.3,13.6,10,49.1,25.5,
Hosmer, Eric,543333,2021,.414,.331,.339,.144,90.7,5.9,6.1,47.5,26.0,
McCann, James,543510,2021,.336,.278,.284,.117,87.3,6,5,40.8,26.7,
Miller, Brad,543543,2021,.448,.344,.342,.198,92.5,11.6,5.2,48.3,27.6,
Nola, Austin,543592,2021,.347,.305,.330,.100,89.8,0.8,7.3,40.7,25.9,
Rendon, Anthony,543685,2021,.369,.305,.324,.136,89.1,5.6,5.1,38.8,25.2,
Semien, Marcus,543760,2021,.445,.329,.313,.204,90.1,10.3,8.6,42.2,28.5,
Shaw, Travis,543768,2021,.398,.311,.308,.175,87.5,9.1,7.7,38.5,24.9,
Springer III, George,543807,2021,.509,.365,.339,.268,89.9,15.4,9.4,43,28.3,
Vazquez, Christian,543877,2021,.331,.275,.287,.099,86.9,2.5,4.6,31.4,25.2,
Wong, Kolten,543939,2021,.366,.301,.312,.121,88.3,4.8,5.8,34.8,26.7,
Gregorius, Didi,544369,2021,.330,.274,.283,.102,86.1,2.5,3.3,26.6,27.7,
Garcia, Leury,544725,2021,.311,.280,.303,.085,85.9,3.1,4.6,31.9,28.2,
Grichuk, Randal,545341,2021,.396,.294,.272,.168,89.9,9.2,7,42.9,28.1,
Marisnick, Jake,545350,2021,.298,.260,.270,.101,88.4,6.9,5,39.6,28.7,
Stassi, Max,545358,2021,.397,.310,.304,.172,90.1,9.9,7.9,42.3,26.3,
Herrera, Odubel,546318,2021,.375,.304,.308,.127,89.3,5.1,6.4,41.1,27.4,
Harper, Bryce,547180,2021,.573,.414,.407,.279,91.9,15.8,8.3,47.9,27.8,
Abreu, Jose,547989,2021,.466,.350,.338,.214,92.1,11.1,8.4,49.9,26.5,
Diaz, Elias,553869,2021,.427,.324,.314,.182,87,8.4,6.2,37,25.8,
Narvaez, Omar,553882,2021,.389,.322,.339,.142,85.6,6,5.6,27.7,25.2,
Astudillo, Willians,553902,2021,.378,.286,.280,.123,85.3,4.5,5.1,31.3,24.4,
Suarez, Eugenio,553993,2021,.424,.311,.289,.220,88.4,14.3,3.4,37.8,26.7,
Polanco, Gregory,570256,2021,.400,.312,.305,.172,89.9,9.6,8.8,48.3,27.2,
Gonzalez, Erik,570481,2021,.339,.271,.273,.092,87,3.3,2.8,31.5,27.5,
Urshela, Gio,570482,2021,.425,.313,.294,.172,89,8.2,7.8,42.4,25.5,
Schoop, Jonathan,570731,2021,.402,.311,.304,.143,88.5,6.8,4,41.4,27.0,
Arenado, Nolan,571448,2021,.420,.312,.306,.172,88.9,7.2,6.7,37.1,25.4,
Barnhart, Tucker,571466,2021,.334,.278,.290,.119,87.9,4.8,7.2,33.5,24.4,
Farmer, Kyle,571657,2021,.366,.295,.303,.121,87,4.1,6.2,31.7,27.0,
Goodwin, Brian,571718,2021,.395,.325,.337,.148,88.7,6.3,3.1,33.1,27.2,
Haniger, Mitch,571745,2021,.484,.352,.328,.227,89.2,12.4,6.5,44.4,27.2,
Hernandez, Enrique,571771,2021,.449,.347,.344,.196,90.4,8.1,8.1,41.8,27.4,
Holt, Brock,571788,2021,.331,.294,.317,.089,86.3,1.8,4.2,25,26.1,
Muncy, Max,571970,2021,.574,.413,.399,.300,90.7,16.6,7,44.1,26.7,
Myers, Wil,571976,2021,.371,.300,.306,.153,87.6,7.6,3.4,37.9,28.3,
Naquin, Tyler,571980,2021,.456,.342,.328,.194,90,10.8,4.4,42.4,27.7,
Piscotty, Stephen,572039,2021,.369,.289,.283,.148,86.1,8.8,1.6,36.8,25.8,
Pollock, AJ,572041,2021,.478,.352,.336,.200,90.9,10.1,7.2,48.2,27.8,
Seager, Kyle,572122,2021,.463,.328,.299,.238,89.5,12.6,8.2,41.8,25.5,
Taylor, Michael A.,572191,2021,.368,.291,.290,.134,88.8,6.4,4.4,39.4,28.3,
Voit III, Luke,572228,2021,.468,.348,.332,.220,89.9,15.1,8.4,48.3,24.8,
Walker, Christian,572233,2021,.372,.309,.319,.129,88.4,5.7,9,39.6,27.4,
Zunino, Mike,572287,2021,.512,.349,.304,.302,91.4,25.2,3.7,48.5,25.9,
Carpenter, Matt,572761,2021,.423,.343,.353,.203,91,12.6,10.8,43.2,25.6,
Dickerson, Corey,572816,2021,.370,.300,.306,.120,87.7,2.6,8.3,35.5,27.3,
Ruf, Darin,573131,2021,.495,.382,.388,.232,93.4,12.7,10,55.7,25.7,
Yastrzemski, Mike,573262,2021,.407,.305,.295,.195,89,10,8,37.7,27.4,
Contreras, Willson,575929,2021,.418,.335,.339,.186,91.3,9.4,9,48.5,27.7,
Iglesias, Jose,578428,2021,.367,.298,.305,.097,85.8,3.6,3.1,30.1,28.0,
Torreyes, Ronald,591720,2021,.302,.260,.278,.070,82.3,0.4,4.6,15.4,27.0,
Bryant, Kris,592178,2021,.448,.346,.342,.193,87.9,10.9,7.2,39.3,27.8,
Canha, Mark,592192,2021,.393,.341,.364,.156,88.3,7.9,6.1,37,27.8,
Casali, Curt,592200,2021,.343,.287,.310,.136,86.5,6.6,5.7,32,24.9,
Castellanos, Nick,592206,2021,.502,.363,.345,.215,89.6,9.7,12.4,46.3,27.6,
Gamel, Ben,592325,2021,.358,.304,.319,.139,89.4,7.3,9.9,37.2,27.9,
Goodrum, Niko,592348,2021,.351,.296,.292,.150,88,10.3,6.6,40.4,28.5,
Judge, Aaron,592450,2021,.565,.411,.394,.259,96,17.6,8.6,57.6,27.4,
Machado, Manny,592518,2021,.499,.367,.358,.216,93,13.1,7.1,51.9,26.3,
Moran, Colin,592567,2021,.403,.320,.324,.144,88.9,8.9,3.4,35.8,24.0,
Pederson, Joc,592626,2021,.420,.327,.315,.185,90.8,9.8,9.4,46.9,26.8,
Realmuto, J.T.,592663,2021,.417,.334,.341,.166,89.8,9,5.2,44.8,28.8,
Renfroe, Hunter,592669,2021,.497,.355,.323,.235,90,13.7,7.2,43.9,27.3,
Rosario, Eddie,592696,2021,.389,.301,.292,.143,88.3,4.6,9.2,34.7,26.9,
Simmons, Andrelton,592743,2021,.281,.264,.293,.051,83.8,0.6,1.3,21.5,26.2,
Yelich, Christian,592885,2021,.386,.336,.366,.141,91.4,8.6,8.1,51.8,28.4,
Merrifield, Whit,593160,2021,.379,.304,.309,.119,86.8,3.1,7.1,28.6,28.6,
Bogaerts, Xander,593428,2021,.452,.349,.347,.179,89.2,9.4,5.9,41.2,27.7,
Alberto, Hanser,593643,2021,.366,.287,.286,.099,86.4,3.2,3.8,28.5,26.9,
Polanco, Jorge,593871,2021,.468,.344,.325,.204,89.1,9.4,6,35.7,27.9,
Sano, Miguel,593934,2021,.432,.320,.304,.218,92.7,17.4,4.8,53.5,26.6,
Difo, Wilmer,594694,2021,.318,.283,.302,.089,84.5,3.5,2.1,24.8,28.5,
Duvall, Adam,594807,2021,.481,.326,.283,.256,89.9,14.6,5.8,43.4,28.6,
Eaton, Adam,594809,2021,.306,.274,.295,.091,86.6,4.3,5.3,34,28.0,
Gosselin, Phil,594838,2021,.346,.285,.291,.112,87.1,3.5,7.5,33.3,29.2,
Kiermaier, Kevin,595281,2021,.313,.275,.295,.083,87.1,3.6,3.6,36.8,29.0,
Alfaro, Jorge,595751,2021,.366,.284,.274,.129,90.9,8.1,5.9,48.6,28.3,
Profar, Jurickson,595777,2021,.325,.308,.348,.083,85.8,2.4,3.3,31.4,26.2,
Baez, Javier,595879,2021,.441,.312,.276,.215,90.3,13.3,8,46,28.6,
Cave, Jake,595909,2021,.328,.274,.282,.114,87.2,5.7,8,33,27.9,
